deltager;kjonn;alder;echidna;jerboa;tarsier;pangolin;sum_dyr;betingelse;rekkefolge;alder_kat
1;jente;5;3;1;3;3;10;informert;individ;eldre
2;jente;5,5;2;1;2;1;6;uinformert;individ;eldre
3;jente;5,5;2;2;2;1;7;informert;type;eldre
4;gutt;5,5;0;0;0;0;0;uinformert;type;eldre
5;gutt;5;1;1;2;2;6;informert;individ;eldre
6;gutt;5,5;1;2;3;3;9;uinformert;individ;eldre
7;gutt;5;1;1;1;2;5;informert;type;eldre
8;gutt;5,5;0;0;0;0;0;uinformert;type;eldre
9;gutt;4,5;3;3;3;3;12;informert;individ;eldre
10;jente;3,5;3;3;3;3;12;uinformert;individ;ung
11;gutt;4;3;3;3;3;12;informert;type;eldre
12;gutt;3;2;2;2;3;9;uinformert;type;ung
13;jente;4;1;0;1;2;4;informert;individ;eldre
14;gutt;6;2;2;2;1;7;uinformert;type;eldre
15;gutt;6;3;1;1;2;7;informert;type;eldre
16;jente;6;1;1;1;1;4;uinformert;individ;eldre
17;gutt;6;2;3;2;1;8;informert;individ;eldre
18;gutt;6,5;1;2;1;1;5;uinformert;individ;eldre
19;gutt;6,5;2;2;2;2;8;informert;individ;eldre
20;jente;6,5;2;1;1;2;6;uinformert;type;eldre
21;jente;6,5;1;2;2;2;7;informert;type;eldre
22;jente;6;3;3;3;2;11;uinformert;individ;eldre
23;jente;6;3;3;1;2;9;informert;individ;eldre
24;jente;6;0;2;2;1;5;informert;type;eldre
25;jente;6;1;2;1;0;4;uinformert;type;eldre
26;gutt;4;3;2;2;2;9;informert;individ;eldre
27;jente;5;2;2;2;2;8;informert;type;eldre
28;jente;4,5;1;2;2;3;8;uinformert;individ;eldre
29;gutt;5,5;2;3;2;1;8;uinformert;type;eldre
30;jente;5;2;3;2;2;9;informert;individ;eldre
31;jente;4,5;1;1;0;2;4;informert;type;eldre
32;jente;5,5;2;2;2;2;8;uinformert;individ;eldre
33;gutt;4,5;3;3;0;1;7;uinformert;type;eldre
34;jente;4;2;2;1;1;6;informert;individ;eldre
35;jente;5,5;2;2;0;3;7;informert;type;eldre
36;gutt;3;3;2;2;0;7;informert;individ;ung
37;gutt;4,5;1;0;0;1;2;informert;individ;eldre
38;gutt;3,5;3;3;3;3;12;informert;type;ung
39;gutt;3,5;3;3;3;3;12;informert;individ;ung
40;gutt;4,5;1;1;1;0;3;uinformert;individ;eldre
41;jente;4;3;3;1;1;8;informert;type;eldre
42;gutt;4;0;0;0;0;0;uinformert;type;eldre
43;jente;4;3;0;1;1;5;informert;individ;eldre
44;jente;4,5;2;0;0;0;2;uinformert;individ;eldre
45;jente;4;2;1;0;1;4;informert;type;eldre
46;gutt;2,5;3;3;2;3;11;uinformert;type;ung
47;gutt;3;2;0;2;1;5;informert;individ;ung
48;jente;3;3;3;3;3;12;uinformert;individ;ung
49;gutt;4,5;2;0;1;2;5;informert;type;eldre
50;gutt;3;1;0;0;1;2;uinformert;type;ung
51;gutt;4;3;3;1;0;7;informert;individ;eldre
52;jente;4;1;2;1;2;6;uinformert;individ;eldre
53;gutt;3;2;2;3;3;10;informert;type;ung
54;gutt;5;1;0;1;2;4;uinformert;type;eldre
